Timestamp,X,Y
1775759505172,956,544
1775759505192,955,544
1775759505215,954,544
1775759505236,951,544
1775759505256,948,544
1775759505277,945,545
1775759505298,939,545
1775759505319,933,546
1775759505340,928,547
1775759505360,926,548
1775759505382,924,548
1775759505403,923,548
1775759505430,922,548
1775759505471,922,548
1775759505539,922,548
1775759505615,922,548
1775759505960,922,548
1775759505986,920,548
1775759506006,917,548
1775759506028,913,548
1775759506048,908,548
1775759506069,896,547
1775759506091,887,547
1775759506110,880,547
1775759506132,873,547
1775759506152,868,547
1775759506173,864,547
1775759506194,858,547
1775759506214,854,547
1775759506237,850,547
1775759506257,848,547
1775759506277,847,547
1775759506305,845,547
1775759506702,845,548
1775759506723,841,550
1775759506743,838,550
1775759506764,835,550
1775759506784,832,550
1775759506805,828,551
1775759506825,825,551
1775759506847,822,551
1775759506867,816,551
1775759506888,810,551
1775759506909,805,551
1775759506931,800,552
1775759506950,796,552
1775759506971,794,552
1775759506996,792,552
1775759507031,790,553
1775759507119,790,553
1775759507388,790,553
1775759507409,787,554
1775759507435,784,555
1775759507455,782,555
1775759507476,778,555
1775759507496,775,555
1775759507517,774,555
1775759507537,771,555
1775759507558,769,555
1775759507578,766,555
1775759507599,764,554
1775759507620,761,553
1775759507639,758,552
1775759507660,755,552
1775759507680,753,551
1775759507701,751,551
1775759507721,750,551
1775759507763,750,551
1775759507832,749,551
1775759507927,749,551
1775759507995,749,551
1775759508016,748,551
1775759508036,747,551
1775759508056,743,551
1775759508077,738,551
1775759508098,734,552
1775759508118,731,552
1775759508152,729,552
1775759508193,728,552
1775759508234,727,552
1775759508261,727,552
1775759508309,726,552
1775759508336,725,552
1775759508357,725,552
1775759508373,724,552
1775759508395,722,552
1775759508415,719,552
1775759508436,716,552
1775759508457,714,552
1775759508478,712,552
1775759508493,711,552
1775759508514,710,552
1775759508556,710,552
1775759508603,710,552
1775759508630,709,552
1775759508650,707,552
1775759508672,705,552
1775759508693,701,552
1775759508714,696,553
1775759508735,693,553
1775759508756,692,553
1775759508772,691,553
1775759508808,690,553
1775759508869,690,553
1775759508972,690,553
1775759509013,689,553
1775759509033,688,554
1775759509054,686,554
1775759509075,683,555
1775759509096,679,555
1775759509117,675,556
1775759509138,673,556
1775759509156,671,556
1775759509176,671,556
1775759509217,671,556
1775759509279,670,556
1775759509355,670,556
1775759509381,669,556
1775759509402,667,556
1775759509422,664,556
1775759509443,659,556
1775759509463,655,557
1775759509485,651,557
1775759509505,649,557
1775759509540,647,556
1775759509565,647,556
1775759509613,646,556
1775759509661,646,556
1775759510002,646,556
1775759510023,643,557
1775759510043,640,557
1775759510064,637,557
1775759510084,633,557
1775759510105,630,557
1775759510125,625,556
1775759510145,618,556
1775759510167,611,555
1775759510187,606,555
1775759510207,602,554
1775759510227,599,553
1775759510248,597,552
1775759510268,596,552
1775759510290,596,552
1775759510330,595,552
1775759510405,595,552
1775759510488,595,552
1775759510514,594,552
1775759510535,592,552
1775759510556,589,552
1775759510576,585,552
1775759510596,578,552
1775759510616,574,552
1775759510637,572,552
1775759510657,570,552
1775759510678,567,552
1775759510700,563,552
1775759510720,559,551
1775759510742,555,551
1775759510762,552,551
1775759510782,550,551
1775759510818,548,551
1775759510862,548,551
1775759510978,548,551
1775759511108,547,551
1775759511149,547,551
1775759511183,546,551
1775759511203,544,552
1775759511222,543,553
1775759511241,541,554
1775759511262,538,556
1775759511297,536,557
1775759511334,535,559
1775759511652,535,559
1775759511687,533,559
1775759511707,528,559
1775759511727,523,560
1775759511748,519,561
1775759511770,516,561
1775759511790,513,561
1775759511810,509,560
1775759511831,506,560
1775759511852,504,560
1775759511872,502,559
1775759511894,499,559
1775759511911,498,559
1775759511939,496,559
1775759511959,495,559
1775759511993,494,559
1775759512028,494,559
1775759512103,493,559
1775759512171,493,559
1775759512193,493,559
1775759512212,491,559
1775759512232,490,559
1775759512253,488,559
1775759512273,486,559
1775759512293,483,559
1775759512314,481,559
1775759512335,478,559
1775759512355,476,559
1775759512375,473,559
1775759512396,472,559
1775759512423,471,559
1775759512465,470,559
1775759512533,470,559
1775759512676,469,559
1775759512771,469,559
1775759512792,468,559
1775759512810,468,559
1775759512833,465,560
1775759512854,462,560
1775759512874,458,561
1775759512894,457,561
1775759512943,455,561
1775759512976,455,561
1775759513335,455,561
1775759513355,451,561
1775759513375,445,561
1775759513396,438,561
1775759513416,431,560
1775759513437,426,559
1775759513457,421,559
1775759513477,417,557
1775759513498,415,557
1775759513520,412,556
1775759513539,410,556
1775759513559,409,556
1775759513587,407,555
1775759513614,406,555
1775759513635,405,555
1775759513662,404,555
1775759513703,404,555
1775759513731,404,555
1775759513765,403,555
1775759513792,403,555
1775759513819,402,555
1775759513839,400,554
1775759513860,396,554
1775759513880,391,554
1775759513901,385,553
1775759513922,382,552
1775759513942,379,552
1775759513962,377,552
1775759514003,375,552
1775759514051,375,552
1775759514099,375,552
1775759514140,374,552
1775759514168,373,552
1775759514185,373,552
1775759514206,371,553
1775759514227,369,553
1775759514247,365,553
1775759514268,362,554
1775759514289,359,554
1775759514310,355,554
1775759514331,352,554
1775759514351,350,554
1775759514379,349,554
1775759514413,347,554
1775759514433,347,554
1775759514455,346,554
1775759514482,345,554
1775759514501,343,554
1775759514522,341,554
1775759514542,338,554
1775759514563,335,553
1775759514584,333,553
1775759514604,330,554
1775759514624,328,554
1775759514645,325,554
1775759514665,322,554
1775759514686,316,555
1775759514706,309,556
1775759514727,304,557
1775759514747,301,557
1775759514768,298,557
1775759515103,298,557
1775759515124,292,560
1775759515144,285,562
1775759515164,280,563
1775759515184,276,563
1775759515206,273,563
1775759515226,269,563
1775759515247,265,563
1775759515268,262,563
1775759515290,257,562
1775759515310,253,562
1775759515331,249,562
1775759515352,246,562
1775759515371,243,562
1775759515393,241,562
1775759515414,238,562
1775759515436,235,561
1775759515456,233,561
1775759515477,231,561
1775759515497,228,561
1775759515519,225,561
1775759515539,224,561
1775759515560,221,561
1775759515581,216,561
1775759515601,210,561
1775759515622,205,561
1775759515643,199,561
1775759515664,195,560
1775759515685,192,560
1775759515705,188,560
1775759515726,186,560
1775759515752,184,561
1775759515778,183,561
1775759515819,183,561
1775759516271,183,561
1775759516303,182,561
1775759516319,179,560
1775759516344,178,560
1775759516364,175,560
1775759516386,172,560
1775759516406,168,560
1775759516428,165,559
1775759516448,163,559
1775759516476,161,559
1775759516496,160,557
1775759516524,158,557
1775759516552,156,556
1775759516578,155,555
1775759516598,154,555
1775759516619,153,554
1775759516639,150,551
1775759516659,147,548
1775759516680,145,545
1775759516708,144,544
1775759516732,143,543
1775759516748,143,542
1775759516783,142,541
1775759516803,142,539
1775759516830,141,539
1775759516872,141,539
1775759516919,141,538
1775759516941,141,538
1775759516960,139,536
1775759516980,137,534
1775759517001,136,530
1775759517022,134,527
1775759517042,133,525
1775759517069,132,524
1775759517097,131,521
1775759517158,130,520
1775759517429,130,520
1775759517450,128,517
1775759517470,128,514
1775759517491,127,509
1775759517511,126,503
1775759517531,125,497
1775759517552,125,494
1775759517607,124,493
1775759517634,123,492
1775759517675,123,492
1775759517730,123,491
1775759517757,123,491
1775759517777,123,490
1775759517795,123,490
1775759517811,123,488
1775759517832,123,485
1775759517853,123,482
1775759517873,123,479
1775759517893,122,475
1775759517913,122,473
1775759517961,121,472
1775759518003,121,471
1775759518092,121,471
1775759518112,121,471
1775759518139,121,468
1775759518159,122,466
1775759518180,122,464
1775759518201,123,459
1775759518222,124,455
1775759518242,125,452
